,Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
31,2018-02-01,0.9255894555203308,0.0,25.9,18.1,91.0,69.0,84.41666666666667,914.5,20.735416666666666,4.836388012903537
32,2018-02-02,1.121926612751916,0.0,21.6,18.3,92.0,81.0,90.20833333333331,913.7458333333334,19.922916666666666,3.381809285932269
33,2018-02-03,1.312030844357102,0.0,28.1,18.0,93.0,55.0,84.79166666666667,912.2916666666664,20.654166666666665,5.370029700275728
34,2018-02-04,1.4024082659398958,0.0,21.9,18.1,91.0,76.0,85.20833333333333,914.5208333333336,19.625,3.55384587636148
35,2018-02-05,0.984802248971126,0.0,22.4,17.6,93.0,80.0,89.70833333333331,913.775,19.2375,3.910744005859693
36,2018-02-06,1.0190833399163242,0.0,27.2,18.6,93.0,59.0,85.33333333333333,913.4541666666664,21.025000000000006,4.990118249451772
37,2018-02-07,0.897541290201533,0.0,28.0,18.3,93.0,50.0,80.16666666666667,914.6833333333333,21.84166666666667,5.207111182455254
38,2018-02-08,0.8009309429923401,0.0,31.2,18.4,93.0,41.0,70.125,916.0291666666666,23.75625,5.890065604049887
39,2018-02-09,1.826247208535064,0.0,31.3,20.6,83.0,40.0,66.95833333333333,917.5375,24.583333333333336,5.381542784408822
40,2018-02-10,1.1468583152575145,0.0,30.0,21.2,90.0,50.0,75.45833333333333,918.2875000000003,23.5,5.025731287366068
41,2018-02-11,1.5800466462922818,0.0,30.2,20.6,86.0,42.0,68.04166666666667,918.1833333333328,24.5,5.121802004776008
42,2018-02-12,1.4647375222038908,0.0,30.1,19.2,69.0,29.0,52.33333333333334,917.75,24.31041666666667,5.135619530884987
43,2018-02-13,1.5925124975450813,0.0,29.8,20.2,75.0,36.0,55.20833333333334,918.3291666666664,24.98958333333333,4.962389611818677
44,2018-02-14,1.7483356382050694,0.0,29.5,20.7,77.0,35.0,56.66666666666666,919.9958333333336,24.84166666666667,4.779941988362569
45,2018-02-15,1.9509057210630538,0.0,28.6,18.6,78.0,42.0,57.875,921.1958333333333,23.87083333333333,5.043308406588292
