Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media
2019-01-02,0.8227461826847386,0.0,31.1,18.9,90.0,42.0,71.08333333333333,920.1708333333331,24.114583333333336
2019-01-03,0.7759992404867417,0.0,30.7,20.4,88.0,47.0,71.16666666666667,918.8499999999998,24.268750000000004
2019-01-04,1.015966877103124,0.0,25.4,19.0,91.0,59.0,76.875,919.1750000000001,22.450000000000003
2019-01-05,0.7479510751679442,0.0,30.1,18.6,91.0,41.0,68.875,918.5583333333333,23.585416666666667
2019-01-06,0.9598705464655285,0.0,31.8,18.8,90.0,31.0,61.583333333333336,918.6166666666668,24.952083333333334
2019-01-07,1.5675807950394829,0.0,31.2,20.9,79.0,33.0,59.541666666666664,919.2458333333333,25.731249999999996
2019-01-08,1.8231307457218642,0.0,29.6,19.7,87.0,49.0,65.875,919.9625000000002,24.862500000000004
2019-01-09,1.8262472085350636,0.0,29.4,19.0,78.0,34.0,59.125,919.4083333333333,23.875000000000007
2019-01-10,1.9914197376346512,0.0,29.2,19.7,75.0,38.0,56.583333333333336,919.3083333333334,23.91041666666667
2019-01-11,1.5893960347318812,0.0,30.2,20.3,73.0,41.0,58.333333333333336,920.0000000000001,24.360416666666666
2019-01-12,1.3899424146870965,0.0,30.1,20.4,76.0,40.0,59.666666666666664,919.1541666666668,24.858333333333334
2019-01-13,1.6953557703806732,0.0,30.6,20.2,81.0,35.0,59.0,919.5750000000002,25.08333333333333
2019-01-14,1.8823435391726593,0.0,30.7,20.1,76.0,33.0,55.0,919.6958333333332,25.15833333333334
2019-01-15,1.4990186131490881,0.0,32.6,21.1,76.0,34.0,55.958333333333336,919.7124999999997,26.06458333333333
2019-01-16,1.3369625468627004,0.0,33.4,22.4,72.0,33.0,56.25,919.941666666667,26.849999999999998
2019-01-17,1.2964485302911033,0.0,32.2,21.1,76.0,36.0,58.083333333333336,919.7833333333332,25.952083333333334
2019-01-18,1.5332997040942857,0.0,32.5,20.4,81.0,33.0,58.416666666666664,918.7166666666668,26.02708333333333
2019-01-19,1.6267935884902787,0.0,32.7,21.8,71.0,29.0,53.291666666666664,917.9250000000001,26.660416666666663
2019-01-20,1.3057979187307025,0.0,33.3,20.3,90.0,32.0,57.25,918.4375,25.658333333333335
2019-01-21,1.5114844644018872,0.0,30.6,21.2,91.0,45.0,61.75,919.5666666666667,25.543749999999996
2019-01-22,1.196721720268711,0.0,32.5,20.8,80.0,37.0,57.791666666666664,919.7708333333331,25.900000000000002
2019-01-23,1.6735405306882751,0.0,31.4,21.2,76.0,30.0,55.5,919.5291666666667,26.164583333333333
2019-01-24,2.016351440140249,0.0,31.5,21.2,63.0,33.0,51.291666666666664,919.0374999999998,25.785416666666663
2019-01-25,2.1191947129758417,0.0,29.8,21.4,72.0,39.0,58.041666666666664,918.6208333333334,25.089583333333337
2019-01-26,1.9477892582498544,0.0,29.1,19.5,79.0,43.0,64.54166666666667,919.5375,23.13541666666667
2019-01-27,1.7015886960070727,0.0,29.8,18.1,88.0,33.0,63.541666666666664,920.775,23.358333333333334
2019-01-28,2.1067288617230426,0.0,30.6,21.4,73.0,36.0,55.166666666666664,921.7708333333334,25.518750000000004
2019-01-29,1.8387130597878625,0.0,33.0,21.6,71.0,22.0,49.875,921.3041666666664,26.55833333333333
2019-01-30,1.4616210593906909,0.0,32.8,21.6,70.0,30.0,49.916666666666664,919.8166666666667,26.37708333333334
2019-01-31,1.2465851252799072,0.0,33.8,20.6,66.0,24.0,44.25,918.6333333333332,26.96875
2019-02-01,1.6610746794354758,0.0,32.3,22.6,60.0,25.0,47.083333333333336,918.65,26.81041666666667
2019-02-02,1.5831631091054819,0.0,33.1,22.0,61.0,27.0,46.125,918.6666666666669,27.083333333333332
2019-02-03,1.0097339514767245,0.0,34.1,22.1,66.0,29.0,46.708333333333336,916.7125,27.572916666666664
2019-02-04,1.4398058196982926,0.0,30.7,19.5,87.0,39.0,62.291666666666664,916.7166666666668,24.956249999999997
2019-02-05,1.5582314065998837,0.0,32.3,19.3,90.0,38.0,65.0,917.0083333333331,24.583333333333336
2019-02-06,1.4429222825114925,0.0,26.5,19.5,92.0,58.0,81.375,917.7500000000001,21.358333333333334
2019-02-07,0.7292522982887455,0.0,24.1,19.0,92.0,72.0,87.25,916.3916666666665,20.395833333333336
2019-02-08,0.9255894555203309,0.0,31.1,18.6,91.0,38.0,75.0,915.8208333333332,23.064583333333335
2019-02-09,1.4647375222038905,0.0,30.9,19.1,90.0,37.0,68.54166666666667,916.8833333333331,23.770833333333336
2019-02-10,1.6797734563146745,0.0,31.3,21.0,82.0,38.0,64.04166666666667,917.2291666666666,25.285416666666663
2019-02-11,1.2995649931043027,0.0,31.1,20.8,87.0,40.0,66.04166666666667,918.9291666666669,24.96666666666667
2019-02-12,1.305797918730702,0.0,30.8,21.8,70.0,41.0,57.708333333333336,918.3375000000001,25.59375
